City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,17.6,76,10,0.89,US,1692709150
1,santa cruz de tenerife,28.4682,-16.2546,33.78,32,0,6.17,ES,1692709308
2,port alfred,-33.5906,26.891,25.66,28,48,3.13,ZA,1692709230
3,sinabang,2.4803,96.3801,27.15,79,21,2.28,ID,1692709272
4,adamstown,-25.066,-130.1015,18.86,68,100,13.55,PN,1692709118
5,warora,20.2333,79.0,27.65,82,100,2.89,IN,1692709309
6,yellowknife,62.456,-114.3525,13.56,90,75,1.54,CA,1692709273
7,falenki,58.3613,51.5946,15.26,55,26,3.28,RU,1692709310
8,ust-tsilma,65.441,52.1498,9.98,90,100,2.45,RU,1692709310
9,margaret river,-33.95,115.0667,13.53,66,79,3.39,AU,1692709139
10,nuriootpa,-34.4833,139.0,5.83,87,0,1.29,AU,1692709311
11,cape canaveral,28.4058,-80.6048,30.04,78,0,0.45,US,1692709311
12,georgetown,5.4112,100.3354,29.99,75,20,2.68,MY,1692709071
13,yayladagi,35.9025,36.0627,31.09,54,0,4.12,TR,1692709312
14,afaahiti,-17.75,-149.2833,20.93,65,52,5.04,PF,1692709279
15,griffith,41.5284,-87.4237,23.97,91,0,1.54,US,1692709313
16,port-aux-francais,-49.35,70.2167,1.5,72,100,8.41,TF,1692709116
17,luau,-10.7073,22.2247,36.57,11,20,1.52,AO,1692709314
18,iqaluit,63.7506,-68.5145,7.85,81,75,4.12,CA,1692709115
19,stanley,54.868,-1.6985,20.71,67,40,7.2,GB,1692709140
20,harar,9.3094,42.1258,20.47,58,100,2.53,ET,1692709315
21,miquelon,47.0975,-56.3814,17.0,94,100,2.51,PM,1692709315
22,auki,-8.7676,160.7034,23.61,87,100,2.59,SB,1692709166
23,ushuaia,-54.8,-68.3,1.81,93,75,2.06,AR,1692709052
24,mancio lima,-7.6142,-72.8958,28.85,63,36,0.3,BR,1692709317
25,olinda,-8.0089,-34.8553,27.85,74,40,4.12,BR,1692709188
26,college,64.8569,-147.8028,11.99,91,100,2.57,US,1692709128
27,bethel,41.3712,-73.414,19.45,71,100,4.22,US,1692709137
28,nema,57.5067,50.5011,16.14,54,100,2.85,RU,1692709187
29,uturoa,-16.7333,-151.4333,24.23,66,100,5.65,PF,1692709163
30,puerto ayora,-0.7393,-90.3518,24.75,90,100,2.68,EC,1692709143
31,tomatlan,19.9333,-105.25,25.47,78,100,1.32,MX,1692709320
32,hithadhoo,-0.6,73.0833,28.24,74,100,6.25,MV,1692709181
33,rundu,-17.9333,19.7667,35.47,6,79,2.05,NA,1692709220
34,guerrero negro,27.9769,-114.0611,20.02,84,58,5.65,MX,1692709321
35,puerto natales,-51.7236,-72.4875,0.65,88,97,1.3,CL,1692709121
36,la passe,45.5549,-0.8967,35.13,48,8,5.71,FR,1692709218
37,constantia,44.1833,28.65,35.39,54,5,5.44,RO,1692709323
38,ilulissat,69.2167,-51.1,8.85,61,8,2.19,GL,1692709129
39,hermanus,-34.4187,19.2345,14.2,81,100,13.04,ZA,1692709300
40,thompson,55.7435,-97.8558,10.09,93,75,0.0,CA,1692709120
41,blackmans bay,-43.0167,147.3167,6.4,89,10,2.46,AU,1692709122
42,ta`u,-14.2336,-169.5144,26.24,69,18,8.78,AS,1692709172
43,sitka,57.0531,-135.33,11.64,92,81,1.88,US,1692709125
44,kapit,2.0167,112.9333,24.17,97,100,0.31,MY,1692709227
45,waitangi,-43.9535,-176.5597,9.34,81,26,2.68,NZ,1692709130
46,luderitz,-26.6481,15.1594,16.64,62,0,6.28,NA,1692709144
47,bilibino,68.0546,166.4372,2.48,86,74,1.89,RU,1692709130
48,port elizabeth,-33.918,25.5701,21.16,43,0,2.57,ZA,1692709149
49,edinburgh of the seven seas,-37.0676,-12.3116,13.02,88,100,7.09,SH,1692709129
50,gwaram,11.2764,9.8858,34.71,37,45,2.92,NG,1692709327
51,bambous,-20.2567,57.4061,23.41,75,34,6.8,MU,1692709327
52,katiola,8.1333,-5.1,27.0,76,84,2.08,CI,1692709328
53,talcahuano,-36.7167,-73.1167,10.65,87,100,1.27,CL,1692709328
